"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
60,178,"PER","Peru",1,"Amazonas",5,"Luya",60,"San Juan de Lopecancha","Distrito","District",NA,NA
61,178,"PER","Peru",1,"Amazonas",5,"Luya",61,"Santa Catalina","Distrito","District",NA,NA
62,178,"PER","Peru",1,"Amazonas",5,"Luya",62,"Santo Tomas","Distrito","District",NA,NA
63,178,"PER","Peru",1,"Amazonas",5,"Luya",63,"Tingo","Distrito","District",NA,NA
64,178,"PER","Peru",1,"Amazonas",5,"Luya",64,"Trita","Distrito","District",NA,NA
65,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",65,"Chirimoto","Distrito","District",NA,NA
66,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",66,"Cochamal","Distrito","District",NA,NA
67,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",67,"Huambo","Distrito","District",NA,NA
68,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",68,"Limabamba","Distrito","District",NA,NA
69,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",69,"Longar","Distrito","District",NA,NA
70,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",70,"Mariscal Benavides","Distrito","District",NA,NA
71,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",71,"Milpuc","Distrito","District",NA,NA
72,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",72,"Omia","Distrito","District",NA,NA
73,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",73,"San Nicolas","Distrito","District",NA,NA
74,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",74,"Santa Rosa","Distrito","District",NA,NA
75,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",75,"Totora","Distrito","District",NA,NA
76,178,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza",76,"Vista Alegre","Distrito","District",NA,NA
77,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",77,"Bagua Grande","Distrito","District",NA,NA
78,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",78,"Cajaruro","Distrito","District",NA,NA
79,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",79,"Cumba","Distrito","District",NA,NA
80,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",80,"El Milagro","Distrito","District",NA,NA
81,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",81,"Jamalca","Distrito","District",NA,NA
82,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",82,"Lonya Grande","Distrito","District",NA,NA
83,178,"PER","Peru",1,"Amazonas",7,"Utcubamba",83,"Yamon","Distrito","District",NA,NA
84,178,"PER","Peru",2,"Ancash",8,"Aija",84,"Aija","Distrito","District",NA,NA
85,178,"PER","Peru",2,"Ancash",8,"Aija",85,"Coris","Distrito","District",NA,NA
86,178,"PER","Peru",2,"Ancash",8,"Aija",86,"Huacllan","Distrito","District",NA,NA
87,178,"PER","Peru",2,"Ancash",8,"Aija",87,"La Merced","Distrito","District",NA,NA
88,178,"PER","Peru",2,"Ancash",8,"Aija",88,"Succha","Distrito","District",NA,NA
89,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",89,"Aczo","Distrito","District",NA,NA
90,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",90,"Chaccho","Distrito","District",NA,NA
91,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",91,"Chingas","Distrito","District",NA,NA
92,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",92,"Llamellin","Distrito","District",NA,NA
93,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",93,"Mirgas","Distrito","District",NA,NA
94,178,"PER","Peru",2,"Ancash",9,"Antonio Raymondi",94,"San Juan de Rontoy","Distrito","District",NA,NA
95,178,"PER","Peru",2,"Ancash",10,"Asunción",95,"Acochaca","Distrito","District",NA,NA
96,178,"PER","Peru",2,"Ancash",10,"Asunción",96,"Chacas","Distrito","District",NA,NA
97,178,"PER","Peru",2,"Ancash",11,"Bolognesi",97,"Abelardo Pardo Lezameta","Distrito","District",NA,NA
98,178,"PER","Peru",2,"Ancash",11,"Bolognesi",98,"Antonio Raymondi","Distrito","District",NA,NA
99,178,"PER","Peru",2,"Ancash",11,"Bolognesi",99,"Aquia","Distrito","District",NA,NA
100,178,"PER","Peru",2,"Ancash",11,"Bolognesi",100,"Cajacay","Distrito","District",NA,NA
101,178,"PER","Peru",2,"Ancash",11,"Bolognesi",101,"Canis","Distrito","District",NA,NA
102,178,"PER","Peru",2,"Ancash",11,"Bolognesi",102,"Chiquian","Distrito","District",NA,NA
103,178,"PER","Peru",2,"Ancash",11,"Bolognesi",103,"Colquioc","Distrito","District",NA,NA
104,178,"PER","Peru",2,"Ancash",11,"Bolognesi",104,"Huallanca","Distrito","District",NA,NA
105,178,"PER","Peru",2,"Ancash",11,"Bolognesi",105,"Huasta","Distrito","District",NA,NA
106,178,"PER","Peru",2,"Ancash",11,"Bolognesi",106,"Huayllacayan","Distrito","District",NA,NA
107,178,"PER","Peru",2,"Ancash",11,"Bolognesi",107,"La Primavera","Distrito","District",NA,NA
108,178,"PER","Peru",2,"Ancash",11,"Bolognesi",108,"Mangas","Distrito","District",NA,NA
109,178,"PER","Peru",2,"Ancash",11,"Bolognesi",109,"Pacllon","Distrito","District",NA,NA
110,178,"PER","Peru",2,"Ancash",11,"Bolognesi",110,"San Miguel de Corpanqui","Distrito","District",NA,NA
111,178,"PER","Peru",2,"Ancash",11,"Bolognesi",111,"Ticllos","Distrito","District",NA,NA
112,178,"PER","Peru",2,"Ancash",12,"Carhuaz",112,"Acopampa","Distrito","District",NA,NA
113,178,"PER","Peru",2,"Ancash",12,"Carhuaz",113,"Amashca","Distrito","District",NA,NA
114,178,"PER","Peru",2,"Ancash",12,"Carhuaz",114,"Anta","Distrito","District",NA,NA
115,178,"PER","Peru",2,"Ancash",12,"Carhuaz",115,"Ataquero","Distrito","District",NA,NA
116,178,"PER","Peru",2,"Ancash",12,"Carhuaz",116,"Carhuaz","Distrito","District",NA,NA
